date;country;visa_title;baden_man;baden_woman;bayern_man;bayern_woman;berlin_man;berlin_woman;brandenburg_man;brandenburg_woman;bremen_man;bremen_woman;hamburg_man;hamburg_woman;hessen_man;hessen_woman;mecklen_man;mecklen_woman;niedersachsen_man;niedersachsen_woman;nordrhein_man;nordrhein_woman;rheinland_man;rheinland_woman;saarland_man;saarland_woman;sachsen_man;sachsen_woman;sachsen_anhalt_man;sachsen_anhalt_woman;schleswig_man;schleswig_woman;thueringen_man;thueringen_woman
31.12.2000;China;Antrag auf einen Aufenthaltstitel gestellt;2;-;12;10;-;-;1;-;2;1;-;-;3;-;-;-;9;7;22;19;4;8;-;-;6;2;-;-;25;32;1;1
31.12.2000;China;Duldung;443;120;237;126;20;14;73;56;5;4;14;4;50;15;4;1;48;16;354;137;105;46;45;15;70;27;95;53;2;1;18;4
31.12.2000;China;Aufenthaltsgestattung;296;103;206;126;7;7;70;79;52;18;7;6;141;87;3;2;83;37;477;226;56;18;48;13;201;96;22;4;5;1;146;63
31.12.2000;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;386;229;772;459;334;229;137;84;26;19;168;91;408;266;10;4;156;92;751;377;125;87;48;13;180;67;86;31;42;15;92;24
31.12.2001;China;Freiz�gigkeit nach EU-Recht;17;56;18;43;10;14;-;2;-;-;4;7;13;29;1;1;4;7;20;69;4;7;1;-;-;-;1;2;3;7;2;1
31.12.2001;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3;1;2;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;3;3;-;-;-;-;-;-;-;-;1;-;-;-
31.12.2001;China;Unbefristeter Aufenthaltstitel;373;459;464;540;459;470;30;31;77;73;234;189;344;367;13;12;156;180;605;628;136;160;36;32;31;38;26;26;80;94;16;19
31.12.2001;China;Befristeter Aufenthaltstitel;3388;2845;2679;2253;2390;1842;542;378;481;332;2221;1246;1896;1829;165;115;1702;1330;5001;4139;1267;1173;331;195;1136;869;533;459;534;309;471;340
31.12.2001;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2001;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
