date;country;visa_title;number
31.12.2014;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2629
31.12.2014;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1308
31.12.2014;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;103
31.12.2014;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;637
31.12.2014;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;89
31.12.2014;China;Antrag auf einen Aufenthaltstitel gestellt;364
31.12.2014;China;Duldung;333
31.12.2014;China;Aufenthaltsgestattung;125
31.12.2014;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;638
31.12.2015;China;Freizügigkeit nach EU-Recht;41
31.12.2015;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;2
31.12.2015;China;Unbefristeter Aufenthaltstitel;1556
31.12.2015;China;Befristeter Aufenthaltstitel;5335
31.12.2015;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;3061
31.12.2015;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1309
31.12.2015;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;102
31.12.2015;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;769
31.12.2015;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;94
31.12.2015;China;Antrag auf einen Aufenthaltstitel gestellt;333
31.12.2015;China;Duldung;330
31.12.2015;China;Aufenthaltsgestattung;203
31.12.2015;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;743
31.12.2016;China;Freizügigkeit nach EU-Recht;45
31.12.2016;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5
31.12.2016;China;Unbefristeter Aufenthaltstitel;1710
31.12.2016;China;Befristeter Aufenthaltstitel;5740
31.12.2016;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;3270
31.12.2016;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1385
31.12.2016;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;115
31.12.2016;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;865
31.12.2016;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;105
31.12.2016;China;Antrag auf einen Aufenthaltstitel gestellt;350
31.12.2016;China;Duldung;295
31.12.2016;China;Aufenthaltsgestattung;350
31.12.2016;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;860
31.12.2017;China;Freizügigkeit nach EU-Recht;55
31.12.2017;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5
31.12.2017;China;Unbefristeter Aufenthaltstitel;1855
31.12.2017;China;Befristeter Aufenthaltstitel;5920
31.12.2017;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;3230
31.12.2017;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1460
31.12.2017;China;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;155
31.12.2017;China;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;955
31.12.2017;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;125
31.12.2017;China;Antrag auf einen Aufenthaltstitel gestellt;495
31.12.2017;China;Duldung;320
31.12.2017;China;Aufenthaltsgestattung;240
31.12.2017;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;1030
